lat,lon,alt_m,date,time,fix
43.002048,-78.786688,187.5,09/03/2026,23:03:08.000 UTC,VALID
43.002048,-78.786688,187.5,09/03/2026,23:03:08.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:18.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:18.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:28.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:28.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:38.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:38.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:48.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:48.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:58.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:58.000 UTC,VALID
43.002048,-78.786696,187.5,09/03/2026,23:03:68.000 UTC,VALID
43.002048,-78.786696,187.3,09/03/2026,23:03:68.000 UTC,VALID
43.002048,-78.786696,187.3,09/03/2026,23:03:78.000 UTC,VALID
43.002048,-78.786696,187.3,09/03/2026,23:03:78.000 UTC,VALID
43.002048,-78.786696,187.3,09/03/2026,23:03:88.000 UTC,VALID
43.002048,-78.786696,187.1,09/03/2026,23:03:88.000 UTC,VALID
43.002048,-78.786696,187.1,09/03/2026,,VALID
43.002048,-78.786696,187.2,09/03/2026,,VALID
43.002048,-78.786696,187.2,09/03/2026,23:04:08.000 UTC,VALID
43.002048,-78.786696,187.9,09/03/2026,23:04:08.000 UTC,VALID
43.002052,-78.786688,187.9,09/03/2026,23:04:18.000 UTC,VALID
43.002052,-78.786688,188.2,09/03/2026,23:04:18.000 UTC,VALID
43.002056,-78.786696,188.2,09/03/2026,23:04:28.000 UTC,VALID
43.002056,-78.786696,188.2,09/03/2026,23:04:28.000 UTC,VALID
43.002056,-78.786704,188.2,09/03/2026,23:04:38.000 UTC,VALID
43.002056,-78.786704,188.0,09/03/2026,23:04:38.000 UTC,VALID
43.00206,-78.78672,188.0,09/03/2026,23:04:48.000 UTC,VALID
43.00206,-78.78672,187.9,09/03/2026,23:04:48.000 UTC,VALID
43.00206,-78.786728,187.9,09/03/2026,23:04:58.000 UTC,VALID
43.00206,-78.786728,187.5,09/03/2026,23:04:58.000 UTC,VALID
43.002064,-78.786744,187.5,09/03/2026,23:04:68.000 UTC,VALID
43.002064,-78.786744,187.5,09/03/2026,23:04:68.000 UTC,VALID
43.002064,-78.786768,187.5,09/03/2026,23:04:78.000 UTC,VALID
43.002064,-78.786768,187.7,09/03/2026,23:04:78.000 UTC,VALID
43.002068,-78.786784,187.7,09/03/2026,23:04:88.000 UTC,VALID
43.002068,-78.786784,187.9,09/03/2026,23:04:88.000 UTC,VALID
43.002068,-78.7868,187.9,09/03/2026,,VALID
43.002068,-78.7868,187.8,09/03/2026,,VALID
43.002072,-78.786816,187.8,09/03/2026,23:05:08.000 UTC,VALID
43.002072,-78.786816,187.5,09/03/2026,23:05:08.000 UTC,VALID
43.002072,-78.786832,187.5,09/03/2026,23:05:18.000 UTC,VALID
43.002072,-78.786832,187.4,09/03/2026,23:05:18.000 UTC,VALID
43.002072,-78.786848,187.4,09/03/2026,23:05:28.000 UTC,VALID
43.002072,-78.786848,187.2,09/03/2026,23:05:28.000 UTC,VALID
43.002068,-78.786864,187.2,09/03/2026,23:05:38.000 UTC,VALID
43.002068,-78.786864,186.8,09/03/2026,23:05:38.000 UTC,VALID
43.002068,-78.786888,186.8,09/03/2026,23:05:48.000 UTC,VALID
43.002068,-78.786888,187.1,09/03/2026,23:05:48.000 UTC,VALID
43.002068,-78.786904,187.1,09/03/2026,23:05:58.000 UTC,VALID
43.002068,-78.786904,187.5,09/03/2026,23:05:58.000 UTC,VALID
43.002068,-78.78692,187.5,09/03/2026,23:05:68.000 UTC,VALID
43.002068,-78.78692,187.4,09/03/2026,23:05:68.000 UTC,VALID
43.002068,-78.786936,187.4,09/03/2026,23:05:78.000 UTC,VALID
43.002068,-78.786936,187.2,09/03/2026,23:05:78.000 UTC,VALID
43.002068,-78.786952,187.2,09/03/2026,23:05:88.000 UTC,VALID
43.002068,-78.786952,187.4,09/03/2026,23:05:88.000 UTC,VALID
43.002072,-78.786968,187.4,09/03/2026,,VALID
43.002072,-78.786968,187.3,09/03/2026,,VALID
43.002072,-78.786976,187.3,09/03/2026,23:10:08.000 UTC,VALID
43.002072,-78.786976,187.1,09/03/2026,23:10:08.000 UTC,VALID
43.002072,-78.786992,187.1,09/03/2026,23:10:18.000 UTC,VALID
43.002072,-78.786992,187.0,09/03/2026,23:10:18.000 UTC,VALID
43.002072,-78.787008,187.0,09/03/2026,23:10:28.000 UTC,VALID
43.002072,-78.787008,187.2,09/03/2026,23:10:28.000 UTC,VALID
43.002072,-78.787024,187.2,09/03/2026,23:10:38.000 UTC,VALID
43.002072,-78.787024,187.0,09/03/2026,23:10:38.000 UTC,VALID
43.002072,-78.78704,187.0,09/03/2026,23:10:48.000 UTC,VALID
43.002072,-78.78704,186.6,09/03/2026,23:10:48.000 UTC,VALID
43.00208,-78.787056,186.6,09/03/2026,23:10:58.000 UTC,VALID
43.00208,-78.787056,185.9,09/03/2026,23:10:58.000 UTC,VALID
43.002084,-78.787072,185.9,09/03/2026,23:10:68.000 UTC,VALID
43.002084,-78.787072,185.4,09/03/2026,23:10:68.000 UTC,VALID
43.002084,-78.787096,185.4,09/03/2026,23:10:78.000 UTC,VALID
43.002084,-78.787096,186.1,09/03/2026,23:10:78.000 UTC,VALID
43.00208,-78.78712,186.1,09/03/2026,23:10:88.000 UTC,VALID
43.00208,-78.78712,186.4,09/03/2026,23:10:88.000 UTC,VALID
43.002076,-78.787136,186.4,09/03/2026,,VALID
43.002076,-78.787136,186.7,09/03/2026,,VALID
43.00208,-78.787144,186.7,09/03/2026,23:11:08.000 UTC,VALID
43.00208,-78.787144,186.3,09/03/2026,23:11:08.000 UTC,VALID
43.00208,-78.78716,186.3,09/03/2026,23:11:18.000 UTC,VALID
43.00208,-78.78716,186.2,09/03/2026,23:11:18.000 UTC,VALID
43.00208,-78.787176,186.2,09/03/2026,23:11:28.000 UTC,VALID
43.00208,-78.787176,186.3,09/03/2026,23:11:28.000 UTC,VALID
